row_id,car_name,mileage,price,type,category,quantity,sales,order_date,profit,country,ship_date,state,region,discount
31,Chevrolet Silverado,467,9308823,Diesel,Pickup Truck,13,161352937,2019-10-30,35438233.45,USA,2021-06-22,Michigan,North,15.47
32,Audi Q7,489,5524377,EV,SUV,6,10358208,2019-02-17,2227746.58,USA,2024-07-12,Rhode Island,South,20.64
33,Chevrolet Silverado,415,12021068,Diesel,Pickup Truck,19,304533740,2019-02-05,25808174.78,USA,2022-01-16,North Carolina,East,21.65
34,Audi Q7,241,18009438,EV,SUV,17,95675141,2022-01-29,22454993.75,USA,2023-03-20,South Dakota,South,17.38
35,Ford Mustang,294,15868317,Petrol,Coupe,18,142814858,2018-08-30,12321187.94,USA,2024-01-28,Kentucky,East,6.92
36,Honda Civic,323,8976307,EV,Sedan,16,143620912,2023-04-03,13944712.42,USA,2024-03-04,New Mexico,East,11.23
37,Chevrolet Silverado,558,1719541,Petrol,Pickup Truck,8,9170889,2020-10-02,580408.89,USA,2021-09-29,New Mexico,South,1.61
38,Chevrolet Silverado,279,1983667,Diesel,Pickup Truck,25,66122250,2018-04-09,11984396.42,USA,2019-09-20,Illinois,South,10.89
39,Honda Civic,202,5954654,Petrol,Sedan,10,59546540,2019-01-22,3335652.36,USA,2019-06-17,Pennsylvania,North,11.8
40,Hyundai Sonata,359,10508779,EV,Sedan,19,159733440,2023-01-15,13910940.7,USA,2024-11-08,Arkansas,North,22.01
41,Nissan Altima,253,11334982,Petrol,Sedan,8,72543884,2019-01-27,8915646.44,USA,2019-05-30,Louisiana,West,4.27
42,Hyundai Sonata,561,10059591,Petrol,Sedan,9,36214527,2021-10-16,2503023.09,USA,2022-02-12,South Dakota,South,18.54
43,Tesla Model S,358,11840081,Diesel,Sedan,18,135622746,2018-04-25,10801605.13,USA,2021-02-02,Missouri,East,13.97
44,BMW 3 Series,567,15314025,Petrol,Sedan,2,6125610,2020-05-09,606797.35,USA,2024-06-01,Indiana,North,9.28
45,Toyota Corolla,367,8663535,Diesel,Sedan,8,34654140,2021-07-19,7492515.79,USA,2022-12-13,New York,North,0.76
46,Tesla Model S,318,16183256,EV,Sedan,22,226565585,2023-06-10,42275153.48,USA,2024-08-21,Indiana,South,14.93
47,Chevrolet Silverado,198,7402195,EV,Pickup Truck,16,78956755,2021-09-03,10929725.07,USA,2024-03-06,Hawaii,West,3.38
48,Honda Civic,299,3458951,Petrol,Sedan,16,55343216,2018-11-11,10689680.61,USA,2022-11-20,South Carolina,North,10.5
49,Nissan Altima,195,227529,Diesel,Sedan,3,273034,2021-04-07,33037.33,USA,2023-03-31,California,West,10.21
50,Tesla Model S,583,1394842,Petrol,Sedan,5,2219068,2021-01-18,234657.56,USA,2023-06-14,New Hampshire,East,20.16
51,Chevrolet Silverado,463,5670518,Diesel,Pickup Truck,2,15121382,2024-07-19,3610201.55,USA,2024-11-26,South Dakota,North,11.28
52,Nissan Altima,319,858846,EV,Sedan,1,343538,2021-07-28,48645.08,USA,2022-08-02,Arizona,North,5.72
53,Ford F-150,291,1279412,EV,Pickup Truck,5,4797795,2021-01-11,924511.2,USA,2021-01-29,Hawaii,East,11.69
54,Toyota Corolla,538,9646916,Petrol,Sedan,18,86822244,2020-08-13,21155976.03,USA,2023-12-08,Kentucky,East,6.09
55,Audi Q7,450,20887849,Petrol,SUV,16,52219624,2020-10-14,6526108.0,USA,2023-01-24,Pennsylvania,West,2.0
56,Chevrolet Silverado,207,12199410,Petrol,Pickup Truck,11,178924680,2023-08-27,25821835.22,USA,2023-10-28,North Dakota,West,13.71
57,Hyundai Sonata,436,3902475,Diesel,Sedan,22,68683560,2022-11-05,12162437.19,USA,2024-02-17,Montana,North,12.46
58,BMW 3 Series,418,4260118,Diesel,Sedan,7,11928331,2018-03-06,2847715.38,USA,2021-12-28,Minnesota,South,1.61
59,Nissan Altima,476,3405273,Petrol,Sedan,10,27242184,2024-02-19,5033716.63,USA,2024-06-13,Montana,East,11.32
60,Hyundai Sonata,167,10565810,EV,Sedan,7,29584268,2021-02-10,1739378.93,USA,2023-07-16,Mississippi,East,0.74
61,Audi Q7,512,19823195,Diesel,SUV,4,12389497,2021-05-30,1394085.71,USA,2022-06-23,Texas,South,10.65
62,BMW 3 Series,394,17931870,Diesel,Sedan,1,7172748,2018-10-20,490214.87,USA,2023-07-24,Connecticut,West,19.52
63,Toyota Corolla,224,3764248,Petrol,Sedan,1,3764248,2024-05-26,899281.37,USA,2024-07-16,Wyoming,South,24.29
64,Ford Mustang,429,6867174,EV,Coupe,21,72105327,2022-11-19,14870348.24,USA,2024-02-14,Ohio,South,15.61
65,BMW 3 Series,182,18256797,Diesel,Sedan,4,29210875,2018-07-08,2925474.12,USA,2021-06-17,Mississippi,South,15.45
66,Hyundai Sonata,294,3469707,Petrol,Sedan,22,61066843,2019-07-20,6384220.85,USA,2021-10-18,Kansas,West,17.81
67,Hyundai Sonata,236,11250475,EV,Sedan,16,144006080,2024-04-09,28340570.75,USA,2024-10-19,Illinois,West,0.51
68,BMW 3 Series,300,7004284,Petrol,Sedan,8,22413710,2018-03-11,1385177.26,USA,2023-03-16,Alaska,North,21.34
69,Chevrolet Silverado,138,2317533,Diesel,Pickup Truck,8,24720355,2023-01-20,5312726.73,USA,2024-09-09,Hawaii,East,11.54
70,Ford F-150,200,8933750,EV,Pickup Truck,20,134006250,2021-12-26,13372898.09,USA,2023-01-24,Michigan,East,6.75
71,Hyundai Sonata,286,3939409,Diesel,Sedan,25,78788180,2024-03-25,17550008.88,USA,2024-04-13,South Carolina,East,2.13
72,Tesla Model S,178,14590561,EV,Sedan,21,97491480,2021-09-24,17692613.08,USA,2024-05-11,South Carolina,East,1.8
73,BMW 3 Series,553,20880967,EV,Sedan,7,58466709,2024-08-13,9301786.9,USA,2024-10-09,Rhode Island,South,7.74
74,Ford F-150,159,8349111,Petrol,Pickup Truck,24,150283998,2020-05-02,14001845.7,USA,2022-02-07,Montana,East,12.7
75,Ford Mustang,442,9145582,Petrol,Coupe,24,109746993,2024-10-29,17196190.17,USA,2024-11-22,Rhode Island,South,5.33
76,Ford F-150,338,8865018,Diesel,Pickup Truck,24,319140648,2023-07-09,55372083.16,USA,2024-06-12,Massachusetts,West,4.71
77,Tesla Model S,152,6815108,Diesel,Sedan,2,8673774,2018-02-10,886178.02,USA,2022-03-14,Missouri,East,14.42
78,Audi Q7,381,11108419,Diesel,SUV,14,48599334,2022-11-24,9328950.09,USA,2024-02-14,Wyoming,North,3.3
79,Tesla Model S,312,5383687,Diesel,Sedan,4,13703930,2024-03-26,1336842.8,USA,2024-09-23,Louisiana,North,17.12
80,BMW 3 Series,318,733206,Diesel,Sedan,6,879847,2020-07-01,187286.03,USA,2022-01-20,Nebraska,West,6.23
81,Honda Civic,125,6050903,Diesel,Sedan,20,121018060,2023-01-16,20727956.88,USA,2024-10-30,South Dakota,South,4.13
82,Honda Civic,385,5490977,Petrol,Sedan,24,131783448,2023-12-19,21856997.68,USA,2024-10-07,West Virginia,North,4.78
83,Ford F-150,409,5672403,Diesel,Pickup Truck,15,63814533,2021-05-22,11791994.11,USA,2021-06-27,Rhode Island,West,14.12
84,Hyundai Sonata,314,3777837,Diesel,Sedan,19,57423122,2019-04-09,3513334.25,USA,2020-04-08,Tennessee,North,0.55
85,Tesla Model S,165,1378709,Petrol,Sedan,23,20179289,2018-04-02,2059827.45,USA,2019-08-08,Illinois,West,20.8
86,Hyundai Sonata,496,1958694,Diesel,Sedan,21,16453029,2020-11-10,2487962.74,USA,2021-10-18,Tennessee,South,0.6
87,Honda Civic,568,4649745,Diesel,Sedan,6,13949235,2021-02-13,2392833.02,USA,2022-10-18,Oregon,West,1.59
88,Honda Civic,135,9664426,Petrol,Sedan,1,9664426,2022-07-02,1931743.44,USA,2023-05-30,Florida,North,3.79
89,Toyota Corolla,294,1440475,EV,Sedan,9,6482137,2021-11-25,1339711.04,USA,2022-12-27,Virginia,West,19.02
90,Ford F-150,420,10442813,Petrol,Pickup Truck,1,15664219,2023-06-20,3559706.87,USA,2023-10-29,Vermont,North,14.76
91,Honda Civic,455,6003394,Petrol,Sedan,17,51028849,2021-08-09,6494281.01,USA,2023-11-14,Mississippi,West,0.51
92,Hyundai Sonata,527,13773209,Diesel,Sedan,23,253427045,2018-03-08,13181605.63,USA,2020-11-19,Massachusetts,East,7.69
93,Honda Civic,168,9280519,Petrol,Sedan,6,27841557,2020-07-24,4147225.5,USA,2022-06-22,New York,East,0.25
94,BMW 3 Series,102,10365123,Petrol,Sedan,8,33168393,2019-09-15,6368477.39,USA,2024-08-05,Tennessee,North,24.42
95,Honda Civic,540,3802650,EV,Sedan,7,13309275,2021-01-10,1603191.64,USA,2024-10-23,Washington,West,1.58
96,Hyundai Sonata,280,12540873,EV,Sedan,23,115376031,2021-05-23,6316411.8,USA,2022-11-26,West Virginia,South,21.44
97,Tesla Model S,153,13711011,Petrol,Sedan,14,61076324,2020-10-18,11669824.84,USA,2022-06-22,North Carolina,East,0.99
98,Toyota Corolla,137,832862,Petrol,Sedan,5,4164310,2019-05-09,705797.04,USA,2020-02-11,Minnesota,East,10.37
99,Audi Q7,529,20655390,Petrol,SUV,21,67775499,2020-10-23,8076804.18,USA,2024-10-11,Vermont,East,20.49
100,BMW 3 Series,233,4475131,EV,Sedan,14,12530368,2020-04-08,1891341.25,USA,2023-07-05,Oklahoma,East,4.59
101,Toyota Corolla,109,4866113,Diesel,Sedan,17,82723921,2023-03-18,12410709.56,USA,2024-04-24,Delaware,North,5.39
102,BMW 3 Series,252,13558792,EV,Sedan,16,86776272,2022-09-18,6884377.38,USA,2023-08-15,New York,West,21.56
103,Honda Civic,262,12203888,Petrol,Sedan,12,146446656,2024-03-01,17672253.88,USA,2024-07-11,South Carolina,West,11.68
104,Tesla Model S,364,2438285,EV,Sedan,13,10085634,2021-07-04,1034759.05,USA,2022-09-30,Michigan,South,17.52
105,Honda Civic,582,927041,EV,Sedan,7,6489287,2022-12-09,801864.23,USA,2022-12-21,Alaska,South,14.43
106,Ford F-150,591,11049943,EV,Pickup Truck,3,49724743,2018-08-09,8378929.85,USA,2019-02-16,South Dakota,East,13.15
107,Chevrolet Silverado,364,11965148,EV,Pickup Truck,2,31907061,2022-03-28,4997425.91,USA,2024-04-02,Virginia,North,19.36
108,Audi Q7,126,14654865,Petrol,SUV,8,36637164,2019-04-09,5027631.63,USA,2020-11-11,Wisconsin,West,6.41
109,Tesla Model S,170,6847823,Diesel,Sedan,20,87154116,2019-01-03,10330729.11,USA,2023-08-06,Pennsylvania,South,11.45
110,Honda Civic,244,2301144,Petrol,Sedan,14,16108008,2020-08-19,1891502.51,USA,2021-01-05,Iowa,South,14.99
111,Toyota Corolla,300,1614158,EV,Sedan,24,38739792,2018-11-27,9676863.43,USA,2020-07-16,Utah,West,14.07
112,Tesla Model S,235,8385318,Diesel,Sedan,8,42688895,2023-12-15,7502573.91,USA,2024-05-03,Texas,East,8.97
113,BMW 3 Series,212,6458518,Petrol,Sedan,17,43917925,2022-11-03,5343921.36,USA,2023-08-29,Nebraska,West,23.42
114,Audi Q7,255,15019430,Diesel,SUV,25,117339300,2023-04-25,18000090.02,USA,2024-06-18,Ohio,South,3.13
115,Chevrolet Silverado,152,12906377,EV,Pickup Truck,2,34417005,2024-05-15,3415694.86,USA,2024-11-17,Indiana,South,2.89
116,Tesla Model S,339,11702856,Petrol,Sedan,4,14894543,2021-08-16,1331578.33,USA,2022-03-29,Oregon,North,21.82
117,Tesla Model S,398,12842316,EV,Sedan,8,65379064,2024-05-03,5928385.62,USA,2024-07-17,Arkansas,South,24.68
118,Ford F-150,471,4633908,Diesel,Pickup Truck,9,62557758,2023-01-13,10357191.27,USA,2024-08-18,Montana,North,7.83
119,Toyota Corolla,515,8180802,Diesel,Sedan,15,122712030,2018-07-15,24038743.2,USA,2022-07-04,Alaska,East,2.09
120,Tesla Model S,594,5188753,Diesel,Sedan,17,56132883,2022-10-08,9729380.86,USA,2023-02-05,Arizona,South,11.54
121,Tesla Model S,309,10280634,EV,Sedan,8,52337773,2018-07-04,8375753.8,USA,2018-08-11,New Jersey,West,20.18
122,Ford F-150,249,1993048,EV,Pickup Truck,25,37369650,2020-03-12,8696505.0,USA,2023-07-17,Colorado,East,11.95
123,Toyota Corolla,193,11227124,Petrol,Sedan,20,224542480,2023-10-16,27141741.96,USA,2024-06-14,New York,South,18.82
124,Tesla Model S,214,13655076,Petrol,Sedan,13,112964724,2018-07-15,12101890.33,USA,2019-10-24,Virginia,North,11.83
125,Ford Mustang,171,17979361,EV,Coupe,18,161814250,2022-05-13,32949160.3,USA,2024-06-23,Nebraska,West,16.5
126,Ford Mustang,560,10023660,Diesel,Coupe,2,10023660,2023-04-28,1778777.03,USA,2024-05-12,Wyoming,North,9.77
127,Ford Mustang,178,14742672,Petrol,Coupe,17,62656356,2021-04-18,10125659.72,USA,2021-04-26,Florida,West,11.5
128,Hyundai Sonata,390,11058651,Petrol,Sedan,19,168091495,2019-03-24,17790685.79,USA,2022-09-24,Connecticut,North,12.77
129,Tesla Model S,532,15369563,Diesel,Sedan,20,97806310,2021-07-29,10632061.73,USA,2022-08-07,Vermont,North,22.68
130,Hyundai Sonata,386,10342923,EV,Sedan,2,16548676,2022-04-19,2671563.21,USA,2024-01-13,Oregon,East,10.58
131,BMW 3 Series,341,9404797,Diesel,Sedan,17,63952623,2018-07-30,4231034.05,USA,2021-04-10,South Carolina,West,16.16
132,Ford F-150,399,11305247,EV,Pickup Truck,15,254368057,2022-08-24,36379982.29,USA,2022-12-07,Michigan,South,11.48
133,Ford F-150,120,3490241,EV,Pickup Truck,16,83765784,2018-09-04,7053306.76,USA,2022-06-27,Minnesota,North,22.71
134,BMW 3 Series,306,14646660,EV,Sedan,15,87879960,2023-10-23,20953679.8,USA,2024-08-08,Wisconsin,West,15.39
135,BMW 3 Series,538,18092797,Diesel,Sedan,11,79608309,2023-06-19,8512970.94,USA,2024-05-16,Alaska,West,3.82
136,Tesla Model S,466,4395954,Diesel,Sedan,21,58745933,2023-10-10,9969991.88,USA,2023-10-28,Mississippi,North,20.86
137,Honda Civic,459,1552187,Petrol,Sedan,9,13969683,2019-02-09,1193276.29,USA,2024-06-16,Maine,South,12.66
138,BMW 3 Series,523,22175118,EV,Sedan,1,8870047,2022-08-19,2021434.92,USA,2024-03-20,Alaska,South,7.46
139,Hyundai Sonata,415,8615060,EV,Sedan,8,55136384,2018-05-04,12103489.53,USA,2021-12-21,Maine,North,20.85
140,Ford F-150,406,12065263,EV,Pickup Truck,18,325762101,2024-07-17,23050459.86,USA,2024-07-27,Alaska,West,22.92
141,Audi Q7,290,20693446,Diesel,SUV,1,3233351,2021-09-12,335256.62,USA,2024-01-15,Illinois,West,18.71
142,Honda Civic,464,853662,Petrol,Sedan,12,10243944,2022-11-10,1909298.46,USA,2024-08-03,Missouri,South,2.8
143,Hyundai Sonata,235,1722882,Diesel,Sedan,23,31701028,2023-12-30,6261983.51,USA,2024-04-05,Idaho,South,18.87
144,Hyundai Sonata,244,11108092,Diesel,Sedan,6,53318841,2023-03-29,4859773.65,USA,2024-10-08,Virginia,East,21.32
145,Honda Civic,398,5992394,Diesel,Sedan,3,8988591,2020-01-26,1976379.92,USA,2020-02-05,Washington,East,8.92
146,Nissan Altima,275,13275046,Diesel,Sedan,22,233640809,2024-05-04,20501158.52,USA,2024-10-04,Georgia,North,23.95
147,Honda Civic,459,2104482,EV,Sedan,18,37880676,2019-09-21,4474366.36,USA,2020-03-26,Texas,North,9.54
148,Ford F-150,428,10415191,Diesel,Pickup Truck,19,148416471,2020-05-24,15877503.08,USA,2021-10-05,Oregon,East,20.31
149,BMW 3 Series,313,6673600,Diesel,Sedan,25,66736005,2023-10-12,13732009.68,USA,2024-01-09,New York,East,11.58
150,Chevrolet Silverado,453,8213437,Petrol,Pickup Truck,4,21902500,2020-01-24,3152076.78,USA,2021-11-14,North Carolina,East,21.61
151,Tesla Model S,100,8473142,EV,Sedan,1,5391999,2019-05-16,340619.69,USA,2020-11-09,Vermont,North,3.77
152,Audi Q7,499,5302828,Petrol,SUV,1,1657134,2023-05-14,374861.35,USA,2024-08-22,Delaware,North,20.9
153,Honda Civic,152,6904526,Diesel,Sedan,24,82854312,2021-04-25,7984906.96,USA,2023-07-10,Florida,East,9.51
154,Honda Civic,286,11898538,EV,Sedan,5,59492690,2018-10-02,13109551.84,USA,2022-03-03,California,South,11.28
155,Chevrolet Silverado,473,9739298,Diesel,Pickup Truck,10,129857316,2023-01-04,20644466.42,USA,2023-09-29,New Hampshire,South,1.03
156,Nissan Altima,377,10279371,Petrol,Sedan,15,61676226,2020-09-30,7657047.24,USA,2021-11-18,Nebraska,West,15.19
157,Ford Mustang,182,16041604,Diesel,Coupe,10,80208024,2018-03-27,7640113.59,USA,2019-03-01,Arizona,West,24.77
158,Hyundai Sonata,405,3360840,EV,Sedan,2,5377344,2018-02-10,614624.47,USA,2024-11-13,Utah,West,23.07
159,Honda Civic,411,13616848,Petrol,Sedan,7,95317936,2018-04-08,23138820.87,USA,2024-08-15,Alabama,South,8.58
160,Ford Mustang,555,13902768,Petrol,Coupe,8,55611072,2024-01-18,8468472.55,USA,2024-09-26,Delaware,West,3.73
161,Audi Q7,205,11674406,Diesel,SUV,2,7296504,2018-08-14,856841.4,USA,2021-09-24,West Virginia,East,18.74
162,Audi Q7,322,7785960,Petrol,SUV,9,10949006,2020-11-28,1845685.13,USA,2024-07-30,Connecticut,South,1.32
163,Hyundai Sonata,320,723833,Petrol,Sedan,7,4053464,2018-11-25,954318.71,USA,2022-05-22,Arkansas,West,2.69
164,Audi Q7,424,19334022,Diesel,SUV,24,145005168,2019-02-21,26414781.02,USA,2022-08-19,Tennessee,North,17.83
165,Chevrolet Silverado,226,1969564,Petrol,Pickup Truck,23,60399978,2022-06-08,7582411.31,USA,2022-07-13,Kansas,South,18.6
166,Hyundai Sonata,165,11144345,Petrol,Sedan,1,8915476,2019-07-21,1196323.14,USA,2020-12-16,Colorado,South,5.78
167,Ford Mustang,516,10087249,Diesel,Coupe,16,80697993,2018-07-26,8164280.12,USA,2019-04-17,Arizona,South,6.73
168,Ford Mustang,405,1592431,Petrol,Coupe,24,19109174,2019-07-14,1841229.63,USA,2019-08-03,Missouri,West,8.09
169,Hyundai Sonata,360,1167864,EV,Sedan,5,4671456,2023-09-02,657160.81,USA,2024-05-21,North Carolina,West,12.2
170,Audi Q7,366,22414547,Petrol,SUV,13,91059098,2019-03-23,18307338.18,USA,2020-10-19,North Carolina,East,10.56
171,Hyundai Sonata,424,11775465,EV,Sedan,18,84783348,2021-11-13,10981904.92,USA,2022-08-08,Oklahoma,South,2.02
172,Hyundai Sonata,366,1184201,EV,Sedan,13,12315690,2022-10-17,2030938.72,USA,2024-10-28,Nebraska,North,18.43
173,Chevrolet Silverado,227,1731628,EV,Pickup Truck,15,34632576,2024-05-10,7298352.43,USA,2024-11-25,Kansas,North,14.16
174,BMW 3 Series,459,4131600,Petrol,Sedan,4,3305280,2021-05-13,515931.25,USA,2023-09-07,Indiana,East,8.31
175,Tesla Model S,523,8650945,EV,Sedan,21,115608091,2018-10-14,23758193.59,USA,2024-06-25,Rhode Island,East,19.69
176,BMW 3 Series,460,9075759,Diesel,Sedan,23,83496982,2024-01-19,20576733.07,USA,2024-10-28,Nevada,East,3.55
177,Ford Mustang,213,16574317,Diesel,Coupe,4,33148634,2024-09-28,5011621.04,USA,2024-11-14,South Carolina,East,20.62
178,BMW 3 Series,249,976873,Diesel,Sedan,10,3907494,2022-01-26,962140.3,USA,2023-03-05,Georgia,South,9.78
179,Honda Civic,579,11698688,Diesel,Sedan,3,35096064,2023-04-21,2213024.44,USA,2023-08-01,South Carolina,South,19.79
180,Audi Q7,138,13435123,Petrol,SUV,2,4198476,2020-06-12,856217.53,USA,2021-09-24,Mississippi,West,17.34
181,Nissan Altima,556,3465074,Diesel,Sedan,6,16632355,2018-11-27,3214580.73,USA,2019-04-06,Kentucky,North,11.91
182,Ford Mustang,263,7099165,EV,Coupe,17,30171452,2021-05-08,5612208.85,USA,2024-06-28,New Mexico,North,15.07
183,Honda Civic,270,10303893,EV,Sedan,17,175166181,2018-03-16,22861844.58,USA,2020-12-10,Washington,North,5.73
184,Tesla Model S,515,4929097,EV,Sedan,22,69007369,2019-12-01,12947849.96,USA,2020-12-01,Connecticut,East,10.01
185,Toyota Corolla,503,8429982,EV,Sedan,8,67439856,2024-09-04,5765462.98,USA,2024-10-18,Ohio,West,6.67
186,Tesla Model S,532,14043628,Petrol,Sedan,3,26810563,2023-04-27,3003893.99,USA,2024-09-16,Colorado,North,8.53
187,Nissan Altima,520,14271132,Petrol,Sedan,11,62792980,2020-06-13,11587177.65,USA,2021-08-17,Idaho,West,4.88
188,Honda Civic,342,3214712,EV,Sedan,6,19288272,2023-01-11,1379075.01,USA,2024-03-11,Alaska,South,17.24
189,Tesla Model S,110,7070696,Petrol,Sedan,9,40495807,2018-02-19,2567410.53,USA,2020-05-21,Pennsylvania,South,12.96
190,Chevrolet Silverado,434,432366,EV,Pickup Truck,1,576488,2023-06-08,72755.46,USA,2024-07-09,West Virginia,East,5.98
191,Hyundai Sonata,166,3707353,EV,Sedan,21,31141765,2020-01-16,1963371.22,USA,2021-05-02,Alaska,North,3.64
192,Audi Q7,485,17374052,Petrol,SUV,21,114017221,2022-10-03,13030051.67,USA,2024-09-28,Nevada,South,1.22
193,Honda Civic,328,6177504,Diesel,Sedan,22,135905088,2019-05-23,8861796.59,USA,2022-01-23,Oregon,West,24.21
194,Hyundai Sonata,521,2784199,Petrol,Sedan,16,17818873,2020-02-15,1642442.76,USA,2020-10-12,Maine,South,12.65
195,Nissan Altima,287,9831970,Petrol,Sedan,18,141580368,2019-03-18,20182059.07,USA,2021-09-29,Washington,West,21.34
196,Chevrolet Silverado,513,7901044,EV,Pickup Truck,22,231763963,2022-06-21,45356436.4,USA,2023-05-24,Alaska,East,17.58
197,Ford Mustang,138,595093,Petrol,Coupe,25,7438665,2023-10-06,940406.86,USA,2024-08-04,Colorado,South,6.02
198,Honda Civic,272,7855810,Petrol,Sedan,6,47134860,2019-10-12,9535755.64,USA,2021-03-03,New York,North,2.51
199,Ford F-150,371,5245429,EV,Pickup Truck,15,59011076,2021-02-27,12385742.69,USA,2023-05-29,Rhode Island,North,3.3
200,Nissan Altima,543,13819219,Petrol,Sedan,15,165830628,2018-01-21,31127799.45,USA,2024-01-16,Virginia,West,2.83
201,Audi Q7,317,14142115,Diesel,SUV,25,110485275,2022-08-21,17742758.37,USA,2023-04-14,Maine,East,4.99
202,Honda Civic,446,6747314,Diesel,Sedan,8,53978512,2023-03-08,11824955.4,USA,2023-11-15,New Mexico,North,8.8
203,Toyota Corolla,288,8420984,Petrol,Sedan,25,210524600,2019-10-13,18687424.01,USA,2020-12-28,West Virginia,South,5.81
204,Tesla Model S,278,10630730,EV,Sedan,17,115005170,2019-08-06,19436656.02,USA,2019-10-14,Florida,South,24.54
205,Ford Mustang,235,15463249,Petrol,Coupe,11,85047870,2024-08-30,9570436.48,USA,2024-11-04,South Carolina,West,15.52
206,Ford F-150,542,1466037,Diesel,Pickup Truck,16,35184888,2019-09-20,4773021.58,USA,2021-02-09,Mississippi,North,9.49
207,Toyota Corolla,238,8177676,EV,Sedan,25,204441900,2022-05-30,34015025.33,USA,2024-08-26,Texas,North,23.42
208,Hyundai Sonata,469,8532342,EV,Sedan,3,20477620,2019-01-29,1282794.51,USA,2020-09-22,Colorado,East,18.56
209,Hyundai Sonata,151,4665924,EV,Sedan,15,55991088,2019-10-26,8130186.25,USA,2023-06-21,Michigan,South,6.87
